name,free_returns,items_sold,items_status,items_shipping,price
"6 Piece Long Thin Shaft Screwdriver Set Phillips & Flat Head 3"", 5"" & 8""",False,0,Brand New,0,1149
Precision SCREWDRIVER SET 6 piece  KIT 3 slotted + 3 phillips small Mini,False,463,Brand New,0,695
VCT 8pc Piece Hammer Head Screwdriver Commercial Grade Set Magnetic Tip,False,146,Brand New,,1995
110 Pcs Magnetic Precision Screwdriver Set Phone Computer Repair Tool Kit Set,False,,Brand New,0,1399
"9 pc Magnetic Nut Driver Bit Setter 1/4"" Hex Shank Quick Change Metric and SAE",True,,Brand New,,1099
magnetic tough case set with 15 accessories,True,0,Brand New,0,1599
Laptop Repair Multi Opening Tools Kit Precision Screwdriver Tool Set 30 In 1,True,0,Brand New,0,1995
10x 1/4'' Magnetic Hex Shank Anti-slip PH2 Phillips Screwdriver Drill Bits Set,True,,Brand New,99,949
14/7x 1/4'' Magnetic Hex Shank Anti-slip PH2 Screwdriver Hand Tool Drill Bit Set,True,,Brand New,0,998
Crescent  Assorted  6-in-1 Screwdriver  Metal  Red  1 pc.,False,,Brand New,0,1075
NEW HUSKY Ratcheting Screwdriver Set (40-Piece),False,,Brand New,0,1699
"Klein Tools 85484 Screwdriver Set, Mini Slotted and Phillips, 4-Piece",True,0,Brand New,0,2506
Milwaukee 48-22-2606 6 PC Precision Screwdriver Set,True,0,Brand New,0,2384
"12pc Magnetic nut driver setter bit NutDriver  MM & SAE 1/4"" Shank Quick Change ",True,364,Brand New,,1998
5pc GENERAL TOOLS RATCHETING OFFSET SCREWDRIVER SET 8075 RATCHET BITS PRECISION,True,176,Brand New,0,1199
New ListingCrescent 6-Piece Screwdriver Set LCCS1006,False,,Brand New,0,1299
"Armstrong 66-583 Ratcheting Screwdriver Handle 6"" Long, 1/4"" Female Hex Hole USA",True,0,Brand New,470,1500
Tekton 2723 2 Pc Screwdriver Set,True,,Brand New,0,681
Precision Screwdriver Set Computer Repair Kit Tools Laptop PC Torx Smartphone,True,,Brand New,500,339
"Heavy Duty 14Pcs 1/2"" Drive Impact Driver Set Screw Remover Tightener Reversible",True,167,Brand New,0,1869
Truecraft 6727 Screwdriver Set (7 Piece),True,0,Brand New,0,1753
TR10 Torx Security Screwdriver Tool Repair Fix,True,,Brand New,0,595
"HDX Screwdriver Nut Driver Double Sided Bits 6 In 1 Tool One Way Drive 3-1/4""",True,0,Brand New,0,399
Pocket Screwdriver with 6 Bits NEW Lot of 11 Precision ,False,0,Open Box,699,1499
 Husky Gear Drive Ratcheting Screwdriver Set (4-Piece),False,,Brand New,0,1799
Megapro Hi Vis Original Multi Bit Screwdriver 15 in 1 High Visibility Green USA,True,105,Brand New,,1999
Torx Bits Set 4pcs 5/32 Inch Hex Shank T5 T6 T7 T8 Screwdriver Bit Set ,True,,Brand New,0,699
"New Listing14PC Power Nut Driver Set Dual Metric&Standard SAE 1/4"" Shank Black/ Red NEW",True,,Brand New,0,99
CRAFTSMAN Torx Screwdriver T20 Clear USA 41475,True,411,Brand New,,699
Jewelers Precision Screwdriver 9 Piece Set For Jewelry Watch Electronic Repairs,False,0,Brand New,0,1298
CRAFTSMAN 5 piece SLOTTED screwdriver set #9-47137,False,0,Brand New,,1799
Triangle Head Security Screwdriver tool TA27 triangular fix repair happy bit toy,True,175,Brand New,0,625
"Xcelite R182V 4-5/8"" Slotted Screwdriver 1/8"" USA",True,,Brand New,390,400
45pcs Precision Screwdriver Set Kit Tool for Computer PC Laptop Phone Repair,False,,Brand New,0,1031
"New ListingCraftsman Screwdriver 3/8"" x 12""  ",False,,Pre-Owned,750,1250
UNBRANDED 12 TIP SCREWDRIVER BIT SET 1/4 IN HEX DRIVE PHILLIPS,False,,Open Box,0,599
