name,free_returns,items_sold,items_status,items_shipping,price
New ListingLot of 24 RARE DELL Walt Disney's Donald Duck & Vacation Parade Comic Books,False,,Pre-Owned,1700,16000
New ListingThe Amazing Spider-Man 194 - CGC Graded 7.0 Key Issue First Black Cat Appearance,False,,New (Other),1595,38969
New ListingNew Teen Titans # 2 NM DC Comic Book Raven Cyborg Flash Robin Wonder Girl J577,True,,,498,153
Comic Book Grab Bag Lot 20 Issues! DC Marvel Image Independent Buy 4 Get 1 Free!,False,,New (Other),0,1495
SOUL PLUMBER #1 1ST PRINT MAIN COVER DC COMICS 2021,False,,Brand New,599,1600
New ListingTHE MAN OF STEEL # 1 - Superman - Near Mint -  John Byrne DC Comics -1986,False,,New (Other),388,495
Eaglemoss DC Comics Graphic Novel Collection Hardcover Books TPB YOU PICK ,True,,Brand New,0,695
New ListingSilver Surfer Annual 1 2 4 & 5 1988 Marvel Comics,True,,,800,899
X-MEN BLUE #29 (2018 MARVEL Comics) ~ VF/NM Book,False,,,494,199
"New ListingX-Men #1 Variant-Cover 2 (Marvel, 1991)",False,,,0,1095
"New ListingVenom 1 (Marvel 2021,Ewing) Medina Hidden Gem 1:50 Variant NM",False,,,0,2975
DC Horror Presents Soul Plumber #3 Cover A B Variant Set Options Presale 12/8,True,,Brand New,425,389
VAMPIRELLA #25 CVR A PARRILLO 2021 DYNAMITE ENTERTAINMENT 11/10/21 NM,True,0,,475,349
Over 950 DC Comic Books - $1.00 Each - YOU PICK  $4 Shipping Any Quantity,False,2766,READ FULL ITEM DESCRIPTION FOR CURRENT AVAILABLE ISSUES,400,100
New ListingSomething is Killing the Children 16 Edera 5 Book Lot Origin of Erica Slaughter,False,,Brand New,600,99
"New ListingJim Butcher's The Dresden Files ""Down Town"" Comic Books #1-6 Complete Series",False,,New (Other),0,2000
New ListingAll in Color for a Dime / The Comic-Book Book Thompson and Lupoff,False,,Pre-Owned,450,5000
"New ListingIce Cream Man #1, 25 (Image) Free Combine Shipping",False,,New (Other),499,199
New ListingBatman: Harley Quinn nn CGC 9.4 1st Print!,False,,Brand New,0,21999
Immortal Hulk #50 12 Cover Variant Set Options Bartel Inhyuk 2021 Marvel,True,,,425,899
New ListingLot of 52 Fantastic Four Comic Books Nice Runs #245+ Free Shipping ,False,,,0,20999
"New ListingThe Amazing Spider-Man #328 (1990, Marvel) CGC 9.8 NM/MT vs Hulk Todd McFarlane",True,,,0,22499
Captain America Epic Collection V14 The Captain New Marvel Comics TPB,False,0,Brand New,395,3495
New ListingNew Mutants # 25 NM Marvel Comic Book X-Men Wolverine Storm Warlock Storm J577,True,,,498,99
DARKHAWK #1 2ND PRINT RAMIREZ VARIANT 2021 MARVEL COMICS 10/13/21 NM,True,0,,475,399
New Listing1986-1989 Marvel Comics DR. STRANGE Lot Of 6 Bagged & Good Condition!,False,,,599,799
